slug,title,Year,link,blurb,School name,Helpers,Head
QE2016,They Kept The Secret,2016,https://www.amazon.co.uk/They-Kept-Secret-Tim-Cooks/dp/1530819741,"When three friends all have a mental illness life can be hard, it can be sad and it can be uncontrollable but it can also a thrilling journey. In this book you see secrets that will destroy, betrayals that will hurt and losses that will tear people apart. But in extreme circumstances people have extreme actions. Some good some bad. Through the events that unfold can they keep the secrets? Can they bottle their grief? Can they keep the silence?",Queen Elizabeth’s Girls' School,['Unknown helpers'],Yes
RP2015,Secrets in the leaves,2015,https://www.amazon.co.uk/Secrets-leaves-Tim-Cooks-ebook/dp/B014RM9H32/ref=sr_1_1?keywords=Cooks+%22Secrets+in+the+leaves%22&qid=1635938455&s=books&sr=1-1,"
Cassidy has always struggled at school. So when she is offered a tea to help her relax and focus, she jumps at the chance. But when the tea starts sweeping the school, things get out of hand in unexpected ways. Cassidy and her friends are the only people who can find out the truth and seek justice.
",Queen Anne High School,"[' Dr Joe Reddington', ' Angela Malcolm', ' Colin McKendry', ' The English Department At Queen Anne', ' Ruth McFarlane', ' Peter Billington', ' Emma Airnes', ' David Arnott', ' Lesley Smales']",Yes
JamesBateman2015,Super 11 vs Robot,2015,https://www.amazon.co.uk/gp/product/151944933X/ref=dbs_a_def_rwt_hsch_vapi_tu00_p2_i0,"10 normal students in middle school and one 3 year old in nursery. They all have their different groups like the popular girls, the gymnasts and the clumsy guy. They hate each other. They have to come together to bring back the parents who have mysteriously disappeared; it is pretty hard with a robot in the way! All of them have special abilities; they just have to know how to use them in a good way. Time is running out- can they bring the adults back or will they grow up without them… Could you bring them back if you were here? Read this story of exciting adventures and see if they can bring them back!",James Bateman School,"['  Mrs. Jane Worthington', '  Richard Seymour', '  Rachel O\xe2\x80\x99 Donovan', '  Mrs. Tracy Price']",Yes
WM2015,The Nightmare on Dark Woods,2015,https://www.amazon.co.uk/gp/product/1519387369/ref=dbs_a_def_rwt_hsch_vapi_tu00_p2_i1,"A street with its darkest tale yet. Four curious kids: John, Tom, Axel, Buster see a dodgy man with his suspicious looking dog move into the house next door. When curiosity drives the kids into the house … everything changes. They encounter horrors they never imagined and are terrified in so many ways. So brace yourself for a haunting trip that will make you quiver in your covers.",Watermill School,"[' ', 'Jen Lamidey', 'Pam Hassall', 'Val Hancock ', 'Donna Berry', 'Jessica Abalo', 'Rachel O\xe2\x80\x99Donovan']",
TM2015A1,In My Words,2015,https://www.amazon.co.uk/gp/product/1511726970/ref=dbs_a_def_rwt_hsch_vapi_tu00_p3_i4,A wonderful month in an exciting writing camp turns for the worse after a string of mysterious events. A group of friends must solve the mystery. But will they be successful? Or will anarchy reign supreme? Read this book to find out the answer to all these questions and more…,St Thomas More Catholic School,?,No
greendragon,The Unfortunate Disease,2015,https://www.amazon.co.uk/Unfortunate-Disease-S-People-ebook/dp/B0713T2RK4/ref=sr_1_1?keywords=%22The+Unfortunate+Disease%22&qid=1635937414&s=books&sr=1-1,"A world dominated by bandits and criminals is what we find ourselves cemented in. An innocent soul ravaged by illness and those around her trying to help. A man with money as a dictator of people’s lives. A relative trying to salvage the life of his beloved cousin.
ugged and let down they continue admirably and hope for a potential outcome that may keep a close friend into existance. ",Special,"[' Shaftesbury Young People', ' Stoke Virtual School', ' Joe Reddington and White Water Writers', ' All Parents, carers, guardians and supporters of the participants.', ' The schools and academies that released the pupils to take part in this event.', ' Keele University']",#N/A
QE2015,Inferos: The New Race,2015,https://www.amazon.co.uk/gp/product/1514635984/ref=dbs_a_def_rwt_hsch_vapi_tu00_p2_i6,"After two hundred years the human population has evolved. A new species has come through who are unbreakable. A normal day for sixth formers Evangeline, Tyler, Blythe and Michael soon turns their lives upside down. News reporter Evangeline and her cameraman brother begin to uncover that what seemed like a terrorist attack is actually a plot of something far more sinister. What could it be? There are deaths, love triangles, betrayals and more which change life as they know it. Is Eva making a mistake uncovering a secret which has been protected by this new violent race for so long? How far will she go and will the truth ever come to the surface? There is only one way to find out…",Queen Elizabeth’s Girls' School,['Unknown helpers'],Yes
TM2015A3,The Last Note,2015,https://www.amazon.co.uk/Last-Note-Tim-Cooks-ebook/dp/B00U6O332W/ref=sr_1_1?keywords=Cooks+%22The+Last+Note%22&qid=1635938946&s=books&sr=1-1,"An exciting experience at a music camp turns into disaster as a group of friends find out that there’s a killer on the loose. As they go through a journey of regret, broken friendships and revenge, one secret remains... ",St Thomas More Catholic School,?,No
Water2015,The Portal Awakens,2015,https://www.amazon.co.uk/gp/product/151462091X/ref=dbs_a_def_rwt_hsch_vapi_tu00_p2_i9,"As a consequence of a perilous dare, three eleven year old children went into the neglected storeroom (not aware of the dangers)...where a portal awoke! They thought they had hit a dead end, but found it was just the beginning of their journey... Ebony black was all they saw as they got sucked into the portal and ended up at an anonymous, bewitched land full of surprises. William, Jayde and Lewis face a strenuous realm of challenges. The secret to escape is to work as a team, can they get along? They have to find a way out. Will they escape?",Waterside Primary School,['Unknown helpers'],
HW2015B,The Crystal Creature,2015,https://www.amazon.co.uk/Crystal-Creature-Tim-Cooks-ebook/dp/B0173ON9FI/ref=sr_1_1?keywords=Cooks+%22The+Crystal+Creature%22&qid=1635937715&sr=8-1,"Ayoto, Jayda, Louis and Matto are four very different friends who live a typical teenage life.
But when they stumble across a certain crystal and a mutant creature of pure evil, their lives change forever. Join them on an adventure packed with action and laced with betrayal. Just don’t forget the warning:
‘A DEATH IS FORETOLD...’ ",Hinchley Wood Secondary School,"[' Maria Cachia', ' Katy Cullen', ' Stuart Holmes', ' Ben Bartlett', ' Mike Robeson']",Yes
